"car.name","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","mpg"
"mazda rx-7 gs",3,70,100,2420,12.5,80,3,23.7
"datsun	810 maxima",6,146,120,2930,13.8,81,3,24.2
"chevrolet cavalier	2-door",4,112,88,2395,18,82,1,34
"amc ambassador dpl",8,390,190,3850,8.5,70,1,15
"plymouth horizon	4",4,105,63,2215,14.9,81,1,34.7
"pontiac catalina",8,455,225,4425,10,70,1,14
"chevrolet chevelle malibu classic",6,250,100,3781,17,74,1,16
"fiat	124 tc",4,116,75,2246,14,74,2,26
"mercury capri v6",6,155,107,2472,14,73,1,21
"renault	12 (sw)",4,96,69,2189,18,72,2,26
"datsun b210",4,79,67,1950,19,74,3,31
"pontiac j2000 se hatchback",4,112,85,2575,16.2,82,1,31
"chevrolet caprice classic",8,400,150,4464,12,73,1,13
"dodge colt (sw)",4,98,80,2164,15,72,1,28
"audi	5000",5,131,103,2830,15.9,78,2,20.3
"chevroelt chevelle malibu",6,250,105,3897,18.5,75,1,16
"chevrolet nova custom",6,250,100,3278,18,73,1,16
"fiat	124b",4,88,76,2065,14.5,71,2,30
"ford granada l",6,232,112,2835,14.7,82,1,22
"datsun	210",4,85,65,2110,19.2,80,3,40.8
"plymouth satellite",8,318,150,3436,11,70,1,18
"pontiac ventura sj",6,250,110,3645,16.2,76,1,18.5
"chevrolet cavalier wagon",4,112,88,2640,18.6,82,1,27
"nissan stanza xe",4,120,88,2160,14.5,82,3,36
"mazda glc custom l",4,91,68,2025,18.2,82,3,37
"peugeot	504",4,141,71,3190,24.8,79,2,27.2
"datsun b-210",4,85,70,1990,17,76,3,32
"dodge charger	2.2",4,135,84,2370,13,82,1,36
"ford mustang cobra",4,140,NA,2905,14.3,80,1,23.6
"mercury marquis",8,429,208,4633,11,72,1,11
"buick regal sport coupe (turbo)",6,231,165,3445,13.4,78,1,17.7
"chevy c10",8,350,145,4055,12,76,1,13
"dodge st. regis",8,318,135,3830,15.2,79,1,18.2
"ford torino	500",6,250,88,3302,15.5,71,1,19
"chevrolet monte carlo landau",8,305,145,3425,13.2,78,1,19.2
"chevy s-10",4,119,82,2720,19.4,82,1,31
"mercury capri	2000",4,122,86,2220,14,71,1,23
"pontiac catalina",8,400,170,4668,11.5,75,1,16
"amc concord dl	6",6,232,90,3265,18.2,79,1,20.2
"toyota starlet",4,79,58,1755,16.9,81,3,39.1
"buick estate wagon (sw)",8,350,155,4360,14.9,79,1,16.9
"chevrolet chevelle malibu",6,250,100,3329,15.5,71,1,17
"datsun	210 mpg",4,85,65,1975,19.4,81,3,37
"dodge colt m/m",4,98,83,2075,15.9,77,1,33.5
"toyota corolla",4,97,75,2155,16.4,76,3,28
"toyota tercel",4,89,62,2050,17.3,81,3,37.7
"chrysler newport royal",8,400,190,4422,12.5,72,1,13
"toyota corolla tercel",4,89,60,1968,18.8,80,3,38.1
"buick century limited",6,181,110,2945,16.4,82,1,25
"vw rabbit",4,90,70,1937,14.2,76,2,29
"dodge coronet custom (sw)",8,318,150,4457,13.5,74,1,14
"chevrolet woody",4,98,60,2164,22.1,76,1,24.5
"chevrolet malibu",8,350,145,3988,13,73,1,13
"ford mustang",6,250,88,3139,14.5,71,1,18
"vokswagen rabbit",4,89,62,1845,15.3,80,2,29.8
"bmw	320i",4,121,110,2600,12.8,77,2,21.5
"toyota corona",4,76,52,1649,16.5,74,3,31
"honda prelude",4,107,75,2210,14.4,81,3,33.7
"chevrolet caprice classic",8,305,130,3840,15.4,79,1,17
"toyota corona",4,113,95,2228,14,71,3,25
"pontiac grand prix lj",8,400,180,4220,11.1,77,1,16
"oldsmobile omega",8,350,180,3664,11,73,1,11
"ford maverick",6,200,81,3012,17.6,76,1,24
"amc concord",6,232,90,3210,17.2,78,1,19.4
"ford fairmont (auto)",6,200,85,2965,15.8,78,1,20.2
"buick century",6,231,110,3907,21,75,1,17
"chevrolet chevette",4,85,52,2035,22.2,76,1,29
"toyota corona",4,134,96,2702,13.5,75,3,24
"chevrolet citation",6,173,110,2725,12.6,81,1,23.5
"dodge challenger se",8,383,170,3563,10,70,1,15
"maxda rx3",3,70,90,2124,13.5,73,3,18
"renault	5 gtl",4,79,58,1825,18.6,77,2,36
"buick skylark	320",8,350,165,3693,11.5,70,1,15
"mercedes benz	300d",5,183,77,3530,20.1,79,2,25.4
"buick century",6,231,110,3415,15.8,81,1,22.4
"dodge aries se",4,135,84,2525,16,82,1,29
"hi	1200d",8,304,193,4732,18.5,70,1,9
"amc ambassador sst",8,304,150,3672,11.5,72,1,17
"chevrolet vega",4,140,72,2401,19.5,73,1,21
"chevrolet nova",6,250,100,3336,17,74,1,15
"volkswagen dasher",4,97,78,2190,14.1,77,2,30.5
"plymouth grand fury",8,318,150,4498,14.5,75,1,16
"datsun	200sx",4,119,100,2615,14.8,81,3,32.9
"honda civic",4,91,53,1795,17.4,76,3,33
"ford fairmont (man)",4,140,88,2720,15.4,78,1,25.1
"ford f108",8,302,130,3870,15,76,1,13
"renault	12tl",4,101,83,2202,15.3,76,2,27
"plymouth horizon miser",4,105,63,2125,14.7,82,1,38
"fiat	124 sport coupe",4,98,90,2265,15.5,73,2,26
"datsun	310 gx",4,91,67,1995,16.2,82,3,38
"capri ii",4,140,92,2572,14.9,76,1,25
"mazda glc deluxe",4,78,52,1985,19.4,78,3,32.8
"toyota corolla",4,108,75,2265,15.2,80,3,32.2
"ford gran torino (sw)",8,302,140,4294,16,72,1,13
"chevrolet chevelle malibu classic",8,305,140,4215,13,76,1,17.5
"opel	1900",4,116,90,2123,14,71,2,28
"dodge colt hatchback custom",4,98,80,1915,14.4,79,1,35.7
"oldsmobile cutlass ciera (diesel)",6,262,85,3015,17,82,1,38
"ford granada gl",6,200,88,3060,17.1,81,1,20.2
"pontiac lemans v6",6,231,115,3245,15.4,79,1,21.5
"datsun	310",4,86,65,2019,16.4,80,3,37.2
"plymouth horizon tc3",4,105,70,2150,14.9,79,1,34.5
"ford maverick",6,250,72,3158,19.5,75,1,15
"buick century special",6,231,105,3380,15.8,78,1,20.6
"pontiac catalina brougham",8,400,175,4464,11.5,71,1,14
"ford maverick",6,200,85,2587,16,70,1,21
"dodge monaco (sw)",8,383,180,4955,11.5,71,1,12
"datsun	710",4,119,97,2545,17,75,3,24
"peugeot	304",4,79,70,2074,19.5,71,2,30
"mercury monarch ghia",8,302,139,3570,12.8,78,1,20.2
