"car.name","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","mpg"
"ford country squire (sw)",8,351,142,4054,14.3,79,1,15.5
"plymouth duster",6,198,95,3102,16.5,74,1,20
"saab	99le",4,121,115,2671,13.5,75,2,25
"amc matador (sw)",8,304,150,3892,12.5,72,1,15
"pontiac phoenix",4,151,90,2735,18,82,1,27
"ford fairmont",4,140,88,2870,18.1,80,1,26.4
"subaru",4,97,67,2065,17.8,81,3,32.3
"amc matador",6,258,110,3730,19,75,1,15
"buick skyhawk",6,231,110,3039,15,75,1,21
"honda civic",4,120,97,2489,15,74,3,24
"vw pickup",4,97,52,2130,24.6,82,2,44
"ford pinto",4,98,NA,2046,19,71,1,25
"dodge coronet brougham",8,318,150,4190,13,76,1,16
"chrysler new yorker brougham",8,440,215,4735,11,73,1,13
"chevrolet malibu",6,200,95,3155,18.2,78,1,20.5
"chevrolet impala",8,454,220,4354,9,70,1,14
"dodge magnum xe",8,318,140,4080,13.7,78,1,17.5
"plymouth fury iii",8,318,150,4135,13.5,72,1,15
"dodge aspen",6,225,90,3381,18.7,80,1,19.1
"chevy c20",8,307,200,4376,15,70,1,10
"datsun pl510",4,97,88,2130,14.5,71,3,27
"chevrolet impala",8,350,165,4209,12,71,1,14
"ford pinto",4,122,85,2310,18.5,73,1,19
"volkswagen type	3",4,97,54,2254,23.5,72,2,23
"amc hornet",6,232,100,2945,16,73,1,18
"audi	4000",4,97,78,2188,15.8,80,2,34.3
"amc concord dl",4,151,NA,3035,20.5,82,1,23
"plymouth duster",6,198,95,2833,15.5,70,1,22
"dodge coronet custom",8,318,150,3777,12.5,73,1,15
"toyota cressida",6,168,116,2900,12.6,81,3,25.4
"toyota corona",4,134,95,2560,14.2,78,3,27.5
"plymouth fury",6,225,95,3785,19,75,1,18
"amc gremlin",6,232,100,2914,16,75,1,20
"ford f250",8,360,215,4615,14,70,1,10
"amc ambassador brougham",8,360,175,3821,11,73,1,13
"saab	99gle",4,121,115,2795,15.7,78,2,21.6
"cadillac seville",8,350,180,4380,12.1,76,1,16.5
"cadillac eldorado",8,350,125,3900,17.4,79,1,23
"dodge aries wagon (sw)",4,156,92,2620,14.4,81,1,25.8
"datsun	210",4,85,65,2020,19.2,79,3,31.8
"amc gremlin",6,232,100,2634,13,71,1,19
"chrysler lebaron salon",6,225,85,3465,16.6,81,1,17.6
"fiat	128",4,90,75,2108,15.5,74,2,24
"toyota corolla	1600 (sw)",4,97,88,2100,16.5,72,3,27
"datsun	510 hatchback",4,119,92,2434,15,80,3,37
"ford ltd landau",8,302,129,3725,13.4,79,1,17.6
"volkswagen rabbit custom",4,97,78,1940,14.5,77,2,29
"volkswagen	411 (sw)",4,121,76,2511,18,72,2,22
"chevrolet monte carlo",8,400,150,3761,9.5,70,1,15
"toyota corolla",4,108,75,2350,16.8,81,3,32.4
"pontiac astro",4,140,78,2592,18.5,75,1,23
"chevrolet vega",4,140,90,2408,19.5,72,1,20
"volvo	244dl",4,121,98,2945,14.5,75,2,22
"ford futura",8,302,139,3205,11.2,78,1,18.1
"chevrolet chevette",4,98,70,2120,15.5,80,1,32.1
"mercury cougar brougham",8,302,130,4295,14.9,77,1,15
"volkswagen scirocco",4,89,71,1990,14.9,78,2,31.5
"plymouth cricket",4,91,70,1955,20.5,71,1,26
"chevrolet chevette",4,98,63,2051,17,77,1,30.5
"honda civic cvcc",4,91,60,1800,16.4,78,3,36.1
"ford country squire (sw)",8,400,170,4746,12,71,1,13
"plymouth satellite sebring",6,225,105,3613,16.5,74,1,18
"toyouta corona mark ii (sw)",4,120,97,2506,14.5,72,3,23
"buick estate wagon (sw)",8,455,225,3086,10,70,1,14
"mazda rx-4",3,80,110,2720,13.5,77,3,21.5
"plymouth valiant",6,225,105,3121,16.5,73,1,18
"chevrolet monte carlo s",8,350,145,4082,13,73,1,15
"volkswagen rabbit",4,97,71,1825,12.2,76,2,29.5
"oldsmobile cutlass salon brougham",8,260,110,3365,15.5,78,1,19.9
"datsun	810",6,146,97,2815,14.5,77,3,22
"plymouth sapporo",4,156,105,2745,16.7,78,1,23.2
"bmw	2002",4,121,113,2234,12.5,70,2,26
"pontiac sunbird coupe",4,151,88,2740,16,77,1,24.5
"honda accord",4,107,72,2290,17,80,3,32.4
"triumph tr7 coupe",4,122,88,2500,15.1,80,2,35
"amc hornet",6,232,100,2901,16,74,1,19
"peugeot	504",4,120,88,3270,21.9,76,2,19
"buick opel isuzu deluxe",4,111,80,2155,14.8,77,1,30
"amc hornet",6,199,97,2774,15.5,70,1,18
"ford granada ghia",6,250,78,3574,21,76,1,18
"subaru dl",4,97,67,1985,16.4,77,3,30
"ford gran torino",8,351,152,4215,12.8,76,1,14.5
"ford country",8,400,167,4906,12.5,73,1,12
"chevrolet vega",4,140,75,2542,17,74,1,25
"amc matador (sw)",8,304,150,4257,15.5,74,1,14
"oldsmobile delta	88 royale",8,350,160,4456,13.5,72,1,12
"pontiac firebird",6,250,100,3282,15,71,1,19
"ford ltd",8,351,148,4657,13.5,75,1,14
"amc hornet",6,232,90,3085,17.6,76,1,22.5
"oldsmobile cutlass salon brougham",8,260,90,3420,22.2,79,1,23.9
"opel	1900",4,116,81,2220,16.9,76,2,25
"subaru dl",4,97,67,2145,18,80,3,33.8
"dodge colt",4,90,75,2125,14.5,74,1,28
"toyota mark ii",6,156,122,2807,13.5,73,3,20
"ford galaxie	500",8,429,198,4341,10,70,1,15
"ford gran torino (sw)",8,302,140,4638,16,74,1,14
"renault lecar deluxe",4,85,NA,1835,17.3,80,2,40.9
"amc rebel sst",8,304,150,3433,12,70,1,16
"volkswagen rabbit",4,90,70,1937,14,75,2,29
"chrysler lebaron town @ country (sw)",8,360,150,3940,13,79,1,18.5
"plymouth custom suburb",8,360,170,4654,13,73,1,13
"pontiac catalina",8,400,175,4385,12,72,1,14
